Gas,Source,Label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
,International Bunker Fuelsc,International Bunker Fuelsc,0.9,1,0.9,0.8,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.9,1,1,1,1,0.9,1,1,0.9,0.9,0.9,0.9
HFCs,,HFCs,46.6,42.2,48,48.1,53.8,73,82.7,93,112.1,108.9,113.7,108.9,115.5,107.9,117.7,120,124.4,136.1,140.6,139.4,149.5,154.3,155.9,159,166.7,173.2
,Substitution of Ozone Depleting Substancesd,Substitution of Ozone Depleting Substancesd,0.3,0.6,1.8,5.9,13.6,30.9,42.9,54.5,61.7,69.9,77.2,83.7,88.6,92.1,95.7,99.7,106.6,114.3,123.1,132.5,141.2,145.3,150.2,154.6,161.3,168.5
,HCFC-22 Production,HCFC-22 Production,46.1,41.4,46,41.9,39.9,41.7,39.4,38.1,49.9,38.5,36.2,25,26.7,15.6,21.8,20,17.5,21.5,17.2,6.8,8,8.8,5.5,4.1,5,4.3
,Semiconductor Manufacture,Semiconductor Manufacture,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3
,Magnesium Production and Processing,Magnesium Production and Processing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,0.1,0.1,0.1
PFCs,,PFCs,24.3,20.9,19.5,19.5,18,18.6,19.9,18.3,17,16.9,15.9,8.2,10.2,8.2,6.8,6.7,6.4,7.8,6.1,3.9,4.6,6.9,6,5.8,5.8,5.2
,Semiconductor Manufacture,Semiconductor Manufacture,2.8,2.8,2.8,3.5,3.9,4.9,5.4,5.7,7,7.1,6,4.2,4.1,3.8,3.5,3.2,3.4,3.3,3,2.1,2.7,3.4,3,2.8,3.2,3.2
,Aluminum Production,Aluminum Production,21.5,18.1,16.7,16,14.1,13.8,14.5,12.6,10,9.8,9.9,4,6.1,4.4,3.3,3.4,2.9,4.5,3.2,1.9,1.9,3.5,2.9,3,2.5,2
,Substitution of Ozone Depleting Substances,Substitution of Ozone Depleting Substances,0,0,0,0,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+ ,+,+ ,+ ,+ ,+ ,+ ,+,+,+,+,+
SF6,,SF6,28.8,27.6,27.8,27.3,26,24.8,24.3,22.6,19.9,19.6,16.6,15.4,14.3,13.8,12.4,11.7,10.4,9.2,8.3,7.9,8.4,9.2,6.8,6.4,6.6,5.8
,Electrical Transmission and Distribution,Electrical Transmission and Distribution,23.1,22.1,22.1,21.4,20.2,18.6,17,15.6,13.3,13.6,12.7,12,10.9,9.9,9.1,8.3,6.9,6.2,6.1,6,5.9,6,4.8,4.6,4.8,4.2
,Magnesium Production and Processing,Magnesium Production and Processing,5.2,4.9,5.2,5.3,5.2,5.4,6.3,6,5.4,4.8,2.9,2.7,2.8,3.3,2.7,2.7,2.8,2.5,1.8,1.6,2.1,2.8,1.6,1.5,1,0.9
,Semiconductor Manufacture,Semiconductor Manufacture,0.5,0.5,0.5,0.6,0.7,0.9,1,1,1.2,1.3,1,0.7,0.6,0.7,0.7,0.7,0.7,0.5,0.4,0.3,0.4,0.4,0.4,0.4,0.7,0.7
NF3,,NF3,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.7,0.6,0.6,0.5,0.6
,Semiconductor Manufacture,Semiconductor Manufacture,+ ,+ ,+ ,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.6,0.5,0.5,0.5,0.7,0.6,0.6,0.5,0.5,0.7,0.6,0.6,0.5,0.6
,,Total Emissions,6363.1,6308.3,6420,6530.5,6621.6,6709,6903.1,6962,7017.5,7056.8,7213.9,7095.2,7131,7171.5,7304.6,7313.3,7246.5,7349.1,7145.3,6700.1,6925.5,6776.7,6538.3,6680.1,6739.7,6586.7
,,LULUCF Emissionse,10.6,11.4,8.4,7.4,16.1,7.4,13.2,7.1,9.7,15.1,20.8,14.2,26.3,18.2,25.8,23,22,28,19.9,18.8,12.5,19.9,26.1,19.2,19.7,19.7
,,LULUCF Carbon Stock Changef,-830.2,-840.3,-819.7,-799.3,-836.1,-793.1,-813.1,-790.7,-777.6,-775.5,-773.2,-735.8,-731.7,-731.7,-724.5,-754,-763.2,-726.5,-704.8,-710.3,-729.7,-769.1,-779.8,-782.2,-781.1,-778.7
,,LULUCF Sector Net Totalg,-819.6,-828.8,-811.3,-791.9,-820,-785.7,-799.9,-783.6,-767.9,-760.5,-752.4,-721.6,-705.4,-713.5,-698.7,-731,-741.2,-698.5,-685,-691.5,-717.2,-749.2,-753.8,-763,-761.4,-758.9
,,Net Emissions (Sources and Sinks),5543.5,5479.4,5608.7,5738.7,5801.6,5923.3,6103.2,6178.4,6249.6,6296.3,6461.5,6373.6,6425.6,6458,6606,6582.3,6505.2,6650.6,6460.4,6008.6,6208.3,6027.6,5784.5,5917.1,5978.3,5827.7
