Q_SUBPART_LEVEL_INFORMATION.FACILITY_ID,Q_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,Q_SUBPART_LEVEL_INFORMATION.GHG_NAME,Q_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
1007577,2013,Nitrous Oxide,0
1007577,2014,Methane,0
1007577,2014,Carbon Dioxide,38912
1007577,2016,Methane,0
1011242,2014,Carbon Dioxide,9862.5
1011242,2016,Nitrous Oxide,0
1011242,2016,Carbon Dioxide,7162.2
1012625,2016,Biogenic Carbon dioxide,0
1012625,2016,Nitrous Oxide,0
1011726,2012,Carbon Dioxide,1334.3
1010925,2011,Carbon Dioxide,5839.2
1011726,2013,Biogenic Carbon dioxide,0
1010763,2014,Biogenic Carbon dioxide,0
1010763,2014,Nitrous Oxide,0
1010763,2015,Biogenic Carbon dioxide,0
1010763,2015,Nitrous Oxide,0
1010766,2014,Nitrous Oxide,0
1000159,2010,Methane,0
1007177,2010,Methane,.02
1000233,2010,Carbon Dioxide,443785
1002216,2010,Biogenic Carbon dioxide,0
1004811,2016,Biogenic Carbon dioxide,0
1005025,2016,Carbon Dioxide,31208.4
1004151,2011,Biogenic Carbon dioxide,0
1004036,2011,Methane,0
1004036,2011,Carbon Dioxide,10805.2
1000156,2012,Nitrous Oxide,.42
1007577,2015,Biogenic Carbon dioxide,0
1007577,2015,Methane,0
1007177,2015,Methane,.02
1007177,2015,Nitrous Oxide,.078
1000156,2014,Carbon Dioxide,1078147.8
1000274,2014,Biogenic Carbon dioxide,0
1000274,2014,Nitrous Oxide,.831
1005976,2012,Nitrous Oxide,0
1000588,2014,Nitrous Oxide,.31
1000124,2014,Nitrous Oxide,0
1003799,2010,Nitrous Oxide,0
1003799,2010,Carbon Dioxide,171752.5
1001563,2012,Methane,.41
1001563,2012,Carbon Dioxide,12660.2
1004458,2014,Methane,0
1004458,2014,Nitrous Oxide,0
1005536,2012,Nitrous Oxide,0
1005536,2012,Carbon Dioxide,7234.1
1005777,2014,Methane,.19
1003962,2010,Carbon Dioxide,1526701.1
1004811,2014,Biogenic Carbon dioxide,0
1005276,2013,Methane,0
1005276,2013,Carbon Dioxide,118384.7
1000418,2014,Biogenic Carbon dioxide,0
1006041,2014,Methane,.39
1001621,2012,Carbon Dioxide,1324403.2
1000553,2011,Biogenic Carbon dioxide,0
1000274,2011,Biogenic Carbon dioxide,0
1000274,2011,Methane,.18
1005276,2015,Carbon Dioxide,117874.6
1005003,2016,Biogenic Carbon dioxide,0
1004453,2015,Biogenic Carbon dioxide,0
1005615,2012,Biogenic Carbon dioxide,0
1005615,2012,Carbon Dioxide,542126.3
1006341,2015,Biogenic Carbon dioxide,0
1006341,2015,Nitrous Oxide,.015
1003669,2015,Methane,0
1000233,2016,Methane,0
1001563,2011,Methane,.42
1003474,2016,Carbon Dioxide,73202.8
1004036,2016,Carbon Dioxide,9862.7
1006041,2010,Methane,.33
1005190,2011,Nitrous Oxide,0
1005777,2015,Nitrous Oxide,.016
1005777,2015,Carbon Dioxide,76003.8
1002958,2010,Biogenic Carbon dioxide,0
1002958,2010,Methane,0
1002958,2010,Carbon Dioxide,205348.8
1000588,2015,Carbon Dioxide,721321.8
1000159,2011,Methane,0
1004259,2013,Carbon Dioxide,116881.5
1007177,2012,Biogenic Carbon dioxide,0
1004036,2010,Carbon Dioxide,7256.9
1004811,2011,Biogenic Carbon dioxide,0
1003902,2011,Biogenic Carbon dioxide,0
1000330,2010,Carbon Dioxide,36090
1005536,2014,Methane,0
1005536,2014,Nitrous Oxide,0
1003902,2012,Methane,0
1002621,2011,Nitrous Oxide,0
1002769,2011,Methane,0
1003268,2011,Biogenic Carbon dioxide,0
1003981,2012,Biogenic Carbon dioxide,0
1004729,2012,Methane,0
1005163,2011,Methane,0
1005190,2012,Nitrous Oxide,0
1006144,2011,Methane,0
1006708,2012,Nitrous Oxide,0
1005423,2011,Nitrous Oxide,0
1005755,2011,Biogenic Carbon dioxide,0
1005755,2011,Carbon Dioxide,31447.2
1000029,2014,Methane,0
1000029,2016,Methane,0
1000029,2016,Nitrous Oxide,0
1000235,2016,Methane,0
1000235,2012,Carbon Dioxide,8806
1000330,2012,Carbon Dioxide,29914
1000330,2013,Methane,0
1000330,2016,Carbon Dioxide,23246.8
1000394,2011,Biogenic Carbon dioxide,0
1000394,2013,Biogenic Carbon dioxide,0
1000394,2013,Methane,0
1000394,2013,Nitrous Oxide,0
1000399,2011,Carbon Dioxide,600.7
1000399,2013,Carbon Dioxide,582
1000399,2014,Biogenic Carbon dioxide,0
1000399,2014,Nitrous Oxide,0
1000399,2015,Carbon Dioxide,630.9
1000399,2016,Biogenic Carbon dioxide,0
1000399,2016,Nitrous Oxide,0
1000588,2010,Carbon Dioxide,305426.3
1000714,2010,Carbon Dioxide,12259
1000714,2012,Nitrous Oxide,0
1000714,2013,Methane,0
1000714,2013,Nitrous Oxide,0
1000714,2014,Methane,0
1000802,2011,Biogenic Carbon dioxide,0
1001103,2012,Biogenic Carbon dioxide,0
1001103,2014,Methane,0
1001618,2012,Carbon Dioxide,249764.6
1001673,2014,Carbon Dioxide,1564.6
1001673,2015,Methane,0
1001699,2011,Nitrous Oxide,0
1001669,2015,Methane,0
1001673,2013,Methane,0
1001958,2015,Nitrous Oxide,0
1001958,2015,Carbon Dioxide,59.7
1002147,2011,Biogenic Carbon dioxide,0
1002147,2012,Carbon Dioxide,222612.7
1002147,2013,Nitrous Oxide,0
1002266,2010,Methane,.63
1002266,2011,Methane,.64
1002266,2016,Nitrous Oxide,.053
1002216,2014,Carbon Dioxide,25772.7
1002714,2015,Methane,0
1002777,2010,Biogenic Carbon dioxide,0
1002777,2013,Methane,0
1002777,2014,Nitrous Oxide,0
1002777,2015,Nitrous Oxide,0
1002768,2011,Biogenic Carbon dioxide,0
1002768,2011,Carbon Dioxide,66849.8
1002768,2012,Biogenic Carbon dioxide,0
1002769,2010,Biogenic Carbon dioxide,0
1002769,2012,Biogenic Carbon dioxide,0
1002903,2010,Nitrous Oxide,0
1002903,2012,Methane,0
1002903,2012,Nitrous Oxide,0
1002903,2013,Carbon Dioxide,94909
1002958,2012,Methane,0
1002958,2013,Methane,0
1002958,2014,Nitrous Oxide,0
1002977,2010,Methane,0
1002977,2010,Carbon Dioxide,43717.6
1002958,2016,Methane,0
1002977,2011,Methane,0
1002977,2012,Biogenic Carbon dioxide,0
1002977,2013,Nitrous Oxide,0
1002977,2016,Biogenic Carbon dioxide,0
1003204,2010,Methane,0
1003204,2013,Nitrous Oxide,0
1003204,2013,Carbon Dioxide,601565
1003204,2014,Biogenic Carbon dioxide,0
1003204,2014,Methane,0
1003204,2012,Carbon Dioxide,506851
1003204,2015,Nitrous Oxide,0
1003204,2016,Nitrous Oxide,0
1003204,2016,Carbon Dioxide,616184.7
1003093,2014,Methane,.61
1003093,2014,Carbon Dioxide,64076.6
1003052,2013,Carbon Dioxide,22794.3
1003052,2016,Biogenic Carbon dioxide,0
1003052,2016,Nitrous Oxide,0
1003268,2012,Carbon Dioxide,27089
1003268,2013,Methane,0
1003268,2013,Carbon Dioxide,21438.9
1003268,2014,Carbon Dioxide,22674.4
1003268,2016,Biogenic Carbon dioxide,0
1003380,2011,Methane,.2
1003380,2013,Biogenic Carbon dioxide,0
1003380,2013,Nitrous Oxide,.008
1003380,2015,Carbon Dioxide,9528
1003474,2012,Methane,0
1003474,2012,Nitrous Oxide,0
1003474,2013,Methane,0
1003474,2014,Nitrous Oxide,0
1003403,2011,Carbon Dioxide,361146.5
1003457,2014,Nitrous Oxide,0
1003457,2014,Carbon Dioxide,193283.6
1003403,2014,Carbon Dioxide,367442.9
1003457,2015,Biogenic Carbon dioxide,0
1003457,2016,Carbon Dioxide,171139.8
1003577,2015,Biogenic Carbon dioxide,0
1003577,2015,Carbon Dioxide,7182.1
1003580,2010,Biogenic Carbon dioxide,0
1003580,2010,Nitrous Oxide,0
1003580,2014,Biogenic Carbon dioxide,0
1000124,2015,Biogenic Carbon dioxide,0
1006041,2015,Methane,.12
1006041,2015,Carbon Dioxide,601755.3
1001834,2015,Nitrous Oxide,.211
1001621,2015,Nitrous Oxide,0
1000588,2012,Nitrous Oxide,.297
1004811,2015,Methane,0
1004811,2015,Nitrous Oxide,0
1005344,2015,Nitrous Oxide,0
1005536,2015,Methane,0
1005598,2015,Nitrous Oxide,0
1005615,2015,Nitrous Oxide,.261
1006041,2011,Biogenic Carbon dioxide,0
1001621,2011,Methane,0
1001621,2011,Nitrous Oxide,0
1007177,2013,Biogenic Carbon dioxide,0
1000156,2013,Biogenic Carbon dioxide,0
1000159,2013,Biogenic Carbon dioxide,0
1000156,2016,Carbon Dioxide,999550.3
1000418,2010,Nitrous Oxide,.234
1001618,2010,Nitrous Oxide,0
1001621,2010,Nitrous Oxide,0
1000156,2010,Nitrous Oxide,.512
1003981,2015,Nitrous Oxide,0
1003981,2015,Carbon Dioxide,48407.8
1003981,2016,Nitrous Oxide,0
1004038,2010,Carbon Dioxide,30703.5
1004038,2011,Biogenic Carbon dioxide,0
1004259,2010,Nitrous Oxide,0
1004259,2010,Carbon Dioxide,128649
1004259,2014,Nitrous Oxide,0
1004616,2010,Nitrous Oxide,0
1004215,2011,Biogenic Carbon dioxide,0
1004616,2014,Methane,0
1004616,2015,Methane,0
1004215,2013,Carbon Dioxide,39871.4
1004215,2014,Biogenic Carbon dioxide,0
1004215,2014,Nitrous Oxide,0
1004434,2010,Biogenic Carbon dioxide,0
1004453,2016,Biogenic Carbon dioxide,0
